[DEBUG] [2019-07-17 09:56:53] org.apache.ibatis.logging.LogFactory.setImplementation(135) | Logging initialized using 'class org.apache.ibatis.logging.log4j.Log4jImpl' adapter.
[DEBUG] [2019-07-17 09:56:53] org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(316) | PooledDataSource forcefully closed/removed all connections.
[DEBUG] [2019-07-17 09:56:53] org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(316) | PooledDataSource forcefully closed/removed all connections.
[DEBUG] [2019-07-17 09:56:53] org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(316) | PooledDataSource forcefully closed/removed all connections.
[DEBUG] [2019-07-17 09:56:53] org.apache.ibatis.datasource.pooled.PooledDataSource.forceCloseAll(316) | PooledDataSource forcefully closed/removed all connections.
[DEBUG] [2019-07-17 09:56:53] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 09:56:53] org.apache.ibatis.transaction.jdbc.JdbcTransaction.openConnection(136) | Opening JDBC Connection
[DEBUG] [2019-07-17 09:56:54] org.apache.ibatis.datasource.pooled.PooledDataSource.popConnection(387) | Created connection 1668627309.
[DEBUG] [2019-07-17 09:56:54] org.apache.ibatis.transaction.jdbc.JdbcTransaction.setDesiredAutoCommit(100) | Setting autocommit to false on JDBC Connection [com.mysql.jdbc.JDBC4Connection@63753b6d]
[DEBUG] [2019-07-17 09:56:54] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: SELECT a.id,a.detailStatus,a.productId from tb_order_detail a 
[DEBUG] [2019-07-17 09:56:54] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 
[DEBUG] [2019-07-17 09:56:54] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | <==      Total: 82
[DEBUG] [2019-07-17 09:56:54] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 09:56:54] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 09:56:54] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 09:56:54] org.apache.ibatis.cache.decorators.LoggingCache.getObject(62) | Cache Hit Ratio [com.tz.dao.IOrderDetailDAO]: 0.0
[DEBUG] [2019-07-17 09:56:54] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==>  Preparing: select b.id,b.infoName,b.infoNumber,b.infoCost,b.infoPrice FROM tb_product_info b where b.id = ? 
[DEBUG] [2019-07-17 09:56:54] org.apache.ibatis.logging.jdbc.BaseJdbcLogger.debug(145) | ==> Parameters: 4(String)
